items
"Drink, Sandwich, Meat"
"Salad, Noodle, Vegetable"
"Rice, Seafood, Fruit_Cup"
"Warp, Drink, Meat"
"Drink, Salad, Noodle, Meat"
"Sandwich, Warp, Fruit_Cup"
"Salad, Noodle, Rice, Vegetable"
"Drink, Sandwich, Meat, Warp"
"Rice, Seafood, Noodle, Vegetable"
"Salad, Drink, Fruit_Cup"
"Noodle, Meat, Vegetable, Warp"
"Rice, Salad, Fruit_Cup, Vegetable"
"Drink, Sandwich, Warp, Meat"
"Salad, Noodle, Rice, Seafood"
"Drink, Rice, Vegetable, Warp"
"Sandwich, Meat, Warp, Fruit_Cup"
"Salad, Noodle, Rice, Vegetable"
"Drink, Sandwich, Meat, Warp"
"Rice, Seafood, Noodle, Vegetable"
"Salad, Drink, Fruit_Cup"
"Drink, Sandwich, Fruit_Cup"
"Salad, Noodle"
"Rice, Vegetable, Seafood"
"Meat, Drink"
"Sandwich, Rice"
"Fruit_Cup, Salad"
"Noodle, Vegetable"
"Seafood, Meat, Drink"
"Rice, Salad"
"Wrap, Fruit_Cup"
"Drink, Noodle"
"Vegetable, Sandwich"
"Seafood, Rice"
"Meat, Salad, Wrap"
"Fruit_Cup, Seafood"
"Noodle, Drink"
"Sandwich, Vegetable"
"Rice, Wrap"
"Meat, Noodle, Salad"
"Drink, Seafood"
"Drink, Sandwich, Salad"
"Fruit_Cup, Noodle"
"Rice, Vegetable"
"Seafood, Meat"
"Drink, Noodle, Fruit_Cup"
"Sandwich, Salad, Rice"
"Vegetable, Seafood"
"Meat, Drink"
"Noodle, Sandwich"
"Fruit_Cup, Vegetable, Rice"
"Drink, Seafood"
"Salad, Noodle, Meat"
"Rice, Fruit_Cup"
"Sandwich, Vegetable"
"Drink, Meat"
"Noodle, Seafood"
"Salad, Rice, Fruit_Cup"
"Vegetable, Sandwich"
"Drink, Noodle, Salad"
"Seafood, Meat, Rice"
"Drink, Sandwich, Fruit_Cup"
"Salad, Noodle"
"Rice, Vegetable, Seafood"
"Meat, Drink"
"Sandwich, Salad"
"Noodle, Vegetable"
"Fruit_Cup, Rice"
"Drink, Seafood"
"Meat, Noodle, Salad"
"Vegetable, Fruit_Cup"
"Sandwich, Drink, Meat"
"Rice, Seafood"
"Noodle, Fruit_Cup"
"Salad, Vegetable"
"Drink, Rice"
"Meat, Sandwich, Noodle"
"Seafood, Salad"
"Fruit_Cup, Vegetable"
"Drink, Noodle"
"Rice, Meat, Salad"
